dispell	무효화
cast	시전
untrained	비훈련시
trained only	훈련 필요
restriction	제한사항
flight	비행
magic	마법
rank	등급
great	상급
greater	상급
lesser	하급
less	하급
mass	광역
minor	하급
major	상급
massive	광역
bonus	보너스
penalty	페널티
item	아이템
type	유형
subtype	하위유형
rapid	재빠른
accelerated	가속화된
improved	향상된
advanced	고난도
uncanny	기묘한
mastery	마스터
aura	오라
drain	흡수
animal	동물
vermin	해충
undead	언데드
arcane	비전
familiar	패밀리어
spell-like	유사주문
metamagic	메타마법
basic rules and legal	기본규칙 및 법적고지
legal information	법률정보
the basics	기본 사항
dice	주사위
ability scores	능력치
modifier	수정치
spellcaster	주문시전자
the abilities	능력
strength	근력
dexterity	민첩
constitution	건강
intelligence	지능
wisdom	지혜
charisma	매력
alignment	성향
good-aligned	선 성향
evil-aligned	악 성향
law	질서
lawful	질서
lawful good	질서 선
lawful evil	질서 악
neutral	중립
neutral good	중립 선
neutral evil	중립 악
chaos	혼돈
chaotic	혼돈
chaotic good	혼돈 선
chaotic evil	혼돈 악
race	종족
human	인간
dwarf	드워프
dwarves	드워프
elf	엘프
elves	엘프
gnome	노움
half-elf	하프 엘프
half-elves	하프 엘프
half-orc	하프 오크
halfling	하플링
character	캐릭터
class	직업
feature	특성
feat	특기
barbarian	바바리안
hit die	히트 다이스
skill points at 1st level	첫 레벨에서 스킬 포인트
skill points at each level	레벨이 오를 때마다 스킬 포인트
skill points at each additional level	레벨이 오를 때마다 추가 스킬 포인트
(ex)	(범)
(sp)	(주)
Spell-Like Abilities (Sp) or Psionics (Sp)	유사주문 능력 (주) 또는 사이오닉 (주)
(su)	(초)
(ex or su)	(범, 초)
(su or sp)	(초, 주)
illiteracy	문맹
indomitable will	불굴의 의지
tireless rage	지칠 줄 모르는 격노
ex-	퇴역 
bard	음유시인
bardic	음유시인의
music	음악
countersong	대응송
fascinate	매료
inspire courage	용기 고취
inspire competence	적성 고취
inspire greatness	위대함 고취
song of freedom	자유의 노래
inspire heroics	영웅심 고취
cleric	사제
deity	신
domain	계열
spontaneous casting	즉시 시전
druid	드루이드
companion	동료
nature sense	자연 감각
wild empathy	야생 교감
woodland	삼림지
trackless step	흔적없는 걸음
resist nature’s lure	자연의 유혹 저항
wild shape	야생 변신
venom immunity	독 면역
a thousand faces	천의 얼굴
